size,cores,time
10000,1,10.6676
10000,1,10.7744
10000,1,10.7735
10000,1,10.8046
10000,1,10.7677
10000,2,6.97184
10000,2,6.88934
10000,2,6.86487
10000,2,6.90672
10000,2,6.85331
10000,3,4.60729
10000,3,4.65632
10000,3,4.68816
10000,3,4.66826
10000,3,4.64979
10000,4,3.78845
10000,4,3.86298
10000,4,3.917
10000,4,3.8154
10000,4,3.77094
10000,5,3.3201
10000,5,3.38855
10000,5,3.33956
10000,5,3.36252
10000,5,3.35274
10000,6,3.02207
10000,6,3.02817
10000,6,3.09398
10000,6,3.02474
10000,6,3.02985
10000,7,2.86388
10000,7,2.92813
10000,7,2.83555
10000,7,2.83634
10000,7,2.90259
10000,8,3.05374
10000,8,2.70179
10000,8,2.7762
10000,8,2.68779
10000,8,2.70198
10000,9,2.57804
10000,9,2.51826
10000,9,2.62266
10000,9,2.51862
10000,9,2.62319
10000,10,2.44599
10000,10,2.468
10000,10,2.48682
10000,10,2.49267
10000,10,2.48972
10000,11,2.42425
10000,11,2.38204
10000,11,2.4623
10000,11,2.37538
10000,11,2.4458
10000,12,2.40374
10000,12,2.32615
10000,12,2.39636
10000,12,2.34064
10000,12,2.41595
10000,13,2.3313
10000,13,2.31619
10000,13,2.3337
10000,13,2.27568
10000,13,2.30164
10000,14,2.31737
10000,14,2.32639
10000,14,2.29954
10000,14,2.32934
10000,14,2.2713
10000,15,2.26874
10000,15,2.2115
10000,15,2.24172
10000,15,2.22209
10000,15,2.29852
10000,16,2.24234
10000,16,2.20033
10000,16,2.22455
10000,16,2.22241
10000,16,2.22744
10000,17,2.21106
10000,17,2.20241
10000,17,2.21449
10000,17,2.17945
10000,17,2.20624
10000,18,2.19344
10000,18,2.19442
10000,18,2.17948
10000,18,2.16743
10000,18,2.17513
10000,19,2.16555
10000,19,2.17076
10000,19,2.21129
10000,19,2.16818
10000,19,2.18754
10000,20,2.36218
10000,20,2.16908
10000,20,2.17746
10000,20,2.14582
10000,20,2.18398
10000,21,2.18684
10000,21,2.16981
10000,21,2.15707
10000,21,2.15375
10000,21,2.15647
10000,22,2.24405
10000,22,2.18982
10000,22,2.20179
10000,22,2.2319
10000,22,2.17543
10000,23,2.24982
10000,23,2.191
10000,23,2.16218
10000,23,2.18413
10000,23,2.18692
10000,24,2.1718
10000,24,2.16344
10000,24,2.18881
10000,24,2.18501
10000,24,2.50559
10000,25,3.2581
10000,25,2.27475
10000,25,2.17621
10000,25,2.16012
10000,25,2.24726
10000,26,2.4451
10000,26,2.39102
10000,26,2.43998
10000,26,2.41916
10000,26,2.49153
10000,27,2.18872
10000,27,2.25551
10000,27,2.17671
10000,27,2.28982
10000,27,2.1899
10000,28,2.16323
10000,28,2.14554
10000,28,2.16538
10000,28,2.16102
10000,28,2.16454
10000,29,2.17948
10000,29,2.16449
10000,29,2.32902
10000,29,2.16788
10000,29,2.20576
10000,30,2.14741
10000,30,2.15078
10000,30,2.20604
10000,30,2.16059
10000,30,2.16195
10000,31,2.20761
10000,31,2.16716
10000,31,2.16388
10000,31,2.18707
10000,31,2.15184
10000,32,2.23451
10000,32,2.11902
10000,32,2.15099
10000,32,2.13497
10000,32,2.15133
10000,33,2.13992
10000,33,2.15562
10000,33,2.11784
10000,33,2.14552
10000,33,2.11931
10000,34,2.11282
10000,34,2.20457
10000,34,2.12819
10000,34,2.23254
10000,34,2.10005
10000,35,2.10547
10000,35,2.10032
10000,35,2.09777
10000,35,2.10189
10000,35,2.16278
10000,36,2.14356
10000,36,2.18306
10000,36,2.11653
10000,36,2.10921
10000,36,2.26058
10000,37,2.10142
10000,37,2.16174
10000,37,2.09502
10000,37,2.0938
10000,37,2.08475
10000,38,2.11871
10000,38,2.09737
10000,38,2.09424
10000,38,2.09692
10000,38,2.1121
10000,39,2.07741
10000,39,2.08741
10000,39,2.10065
10000,39,2.11605
10000,39,2.10239
10000,40,2.06698
10000,40,2.06365
10000,40,2.06828
10000,40,2.15239
10000,40,2.09559
10000,41,2.06327
10000,41,2.07981
10000,41,2.11765
10000,41,2.06977
10000,41,2.07655
10000,42,2.06843
10000,42,2.08717
10000,42,2.07709
10000,42,2.08547
10000,42,2.09089
10000,43,2.11517
10000,43,2.19702
10000,43,2.08896
10000,43,2.18276
10000,43,2.10446
10000,44,2.11209
10000,44,2.08295
10000,44,2.10859
10000,44,2.11468
10000,44,2.09212
10000,45,2.10545
10000,45,2.05182
10000,45,2.13817
10000,45,2.12124
10000,45,2.10885
10000,46,2.10827
10000,46,2.14584
10000,46,2.11886
10000,46,2.08858
10000,46,2.08179
10000,47,2.08003
10000,47,2.14876
10000,47,2.09415
10000,47,2.18453
10000,47,2.07445
10000,48,2.11377
10000,48,2.12044
10000,48,2.06812
10000,48,2.09901
10000,48,2.1133
