size,threads,time
15000,1,12.0154
15000,1,11.8911
15000,1,11.9856
15000,1,12.006
15000,1,11.9784
15000,2,7.41774
15000,2,7.31794
15000,2,7.30245
15000,2,7.34781
15000,2,7.29526
15000,3,5.71582
15000,3,5.74836
15000,3,5.75773
15000,3,5.73784
15000,3,5.71454
15000,4,4.97114
15000,4,4.94898
15000,4,4.99899
15000,4,5.00208
15000,4,5.05469
15000,5,4.43256
15000,5,4.46727
15000,5,4.47697
15000,5,4.43176
15000,5,4.43971
15000,6,4.09256
15000,6,4.08655
15000,6,4.08686
15000,6,4.09621
15000,6,4.09256
15000,7,3.97574
15000,7,3.96116
15000,7,3.91405
15000,7,3.94171
15000,7,3.90971
15000,8,3.77755
15000,8,3.67076
15000,8,3.76248
15000,8,3.70425
15000,8,3.68177
15000,9,3.62115
15000,9,3.62748
15000,9,3.61248
15000,9,3.59566
15000,9,3.61552
15000,10,3.45488
15000,10,3.45517
15000,10,3.44416
15000,10,3.4475
15000,10,3.45356
15000,11,3.42935
15000,11,3.41325
15000,11,3.43609
15000,11,3.3979
15000,11,3.38348
15000,12,3.37781
15000,12,3.35548
15000,12,3.37977
15000,12,3.33453
15000,12,3.35547
