size,threads,time
15000,1,39.2021
15000,1,39.2765
15000,1,39.1853
15000,1,39.1849
15000,1,39.1828
15000,2,20.4411
15000,2,20.5631
15000,2,20.4465
15000,2,20.4014
15000,2,20.4414
15000,3,14.1148
15000,3,14.1551
15000,3,14.1642
15000,3,14.1495
15000,3,14.1615
15000,4,10.8582
15000,4,10.8136
15000,4,10.8587
15000,4,10.8562
15000,4,10.8474
15000,5,9.11224
15000,5,9.11186
15000,5,9.11115
15000,5,9.10924
15000,5,9.11
15000,6,7.88518
15000,6,7.86733
15000,6,7.87372
15000,6,7.76512
15000,6,7.88301
15000,7,7.11989
15000,7,7.12439
15000,7,7.12707
15000,7,7.11898
15000,7,7.12458
15000,8,6.33773
15000,8,6.40443
15000,8,6.40018
15000,8,6.40479
15000,8,6.35059
15000,9,5.6753
15000,9,5.8447
15000,9,5.81156
15000,9,5.80035
15000,9,5.81013
15000,10,5.2255
15000,10,5.29803
15000,10,5.2276
15000,10,5.29723
15000,10,5.22347
15000,11,4.91477
15000,11,4.94415
15000,11,4.94354
15000,11,4.94549
15000,11,4.9447
15000,12,4.81921
15000,12,4.66791
15000,12,4.66514
15000,12,4.6801
15000,12,4.66612
