size,threads,time
10000,1,7.47649
10000,1,7.57896
10000,1,7.52622
10000,1,7.54516
10000,1,7.53331
10000,2,5.39673
10000,2,5.33448
10000,2,5.4137
10000,2,5.45777
10000,2,5.37516
10000,3,4.65009
10000,3,4.62539
10000,3,4.66159
10000,3,4.67343
10000,3,4.63993
10000,4,4.38695
10000,4,4.37599
10000,4,4.36728
10000,4,4.35174
10000,4,4.34405
10000,5,4.19019
10000,5,4.1865
10000,5,4.35907
10000,5,4.33968
10000,5,4.33461
10000,6,4.09225
10000,6,3.90635
10000,6,3.95322
10000,6,3.98298
10000,6,3.97776
10000,7,3.95954
10000,7,3.87994
10000,7,3.96471
10000,7,3.93257
10000,7,3.92834
10000,8,3.87354
10000,8,3.91982
10000,8,3.90996
10000,8,3.8834
10000,8,3.91296
10000,9,3.9616
10000,9,3.76347
10000,9,3.7601
10000,9,3.77384
10000,9,3.84072
10000,10,3.6237
10000,10,4.02902
10000,10,3.80402
10000,10,3.71547
10000,10,3.76655
10000,11,3.76082
10000,11,3.7821
10000,11,3.7143
10000,11,3.8169
10000,11,3.61845
10000,12,3.59709
10000,12,3.60476
10000,12,3.7714
10000,12,3.72147
10000,12,3.63879
