size,tasks,time
10000,1,19.1445
10000,1,19.1554
10000,1,19.1565
10000,1,19.1635
10000,1,19.1566
10000,2,10.6903
10000,2,10.6713
10000,2,10.792
10000,2,10.6793
10000,2,10.7644
10000,3,7.97054
10000,3,7.95577
10000,3,7.95694
10000,3,7.96824
10000,3,7.90196
10000,4,6.45329
10000,4,6.46111
10000,4,6.72554
10000,4,6.4644
10000,4,6.46245
10000,5,5.571
10000,5,5.51492
10000,5,5.52617
10000,5,5.5638
10000,5,5.53636
10000,6,5.00535
10000,6,5.01779
10000,6,4.97427
10000,6,4.97356
10000,6,5.00521
10000,7,4.57821
10000,7,4.60064
10000,7,4.61974
10000,7,4.56885
10000,7,4.60477
10000,8,4.41115
10000,8,4.35832
10000,8,4.31478
10000,8,4.3837
10000,8,4.39397
10000,9,4.25871
10000,9,4.16057
10000,9,3.82835
10000,9,4.11217
10000,9,4.15198
10000,10,4.13035
10000,10,4.09462
10000,10,4.0782
10000,10,4.03404
10000,10,4.08223
10000,11,4.10191
10000,11,4.08823
10000,11,4.09759
10000,11,4.0921
10000,11,4.03209
10000,12,3.99452
10000,12,4.04695
10000,12,3.98422
10000,12,3.98008
10000,12,4.02707
10000,13,4.06368
10000,13,3.96017
10000,13,4.01056
10000,13,3.84513
10000,13,4.0295
10000,14,3.94292
10000,14,3.39078
10000,14,3.65569
10000,14,3.45742
10000,14,3.62687
10000,15,3.11998
10000,15,3.10948
10000,15,2.8179
10000,15,3.03437
10000,15,3.19834
10000,16,2.70135
10000,16,2.9367
10000,16,2.78172
10000,16,2.82523
10000,16,2.91051
10000,17,2.75594
10000,17,2.79706
10000,17,2.85201
10000,17,2.75091
10000,17,2.79439
10000,18,2.68954
10000,18,2.57867
10000,18,2.67975
10000,18,2.68406
10000,18,2.65133
10000,19,2.58941
10000,19,2.60327
10000,19,2.68787
10000,19,2.65644
10000,19,2.63901
10000,20,2.58964
10000,20,2.61444
10000,20,2.61752
10000,20,2.63833
10000,20,2.54744
10000,21,2.50554
10000,21,2.53868
10000,21,2.48859
10000,21,2.50804
10000,21,2.45781
10000,22,2.4243
10000,22,2.45019
10000,22,2.42419
10000,22,2.4623
10000,22,2.44806
10000,23,2.44557
10000,23,2.41906
10000,23,2.51328
10000,23,2.41982
10000,23,2.41772
10000,24,2.40947
10000,24,2.43327
10000,24,2.41712
10000,24,2.41014
10000,24,2.4088
10000,25,4.96961
10000,25,2.4746
10000,25,2.54556
10000,25,2.55382
10000,25,2.58657
10000,26,2.55963
10000,26,2.53565
10000,26,2.54887
10000,26,2.47456
10000,26,2.51465
10000,27,2.50977
10000,27,2.54183
10000,27,2.49083
10000,27,2.51202
10000,27,2.49408
10000,28,2.50803
10000,28,2.47358
10000,28,2.50182
10000,28,2.52101
10000,28,2.50807
10000,29,2.4489
10000,29,2.47968
10000,29,2.46943
10000,29,2.50539
10000,29,2.47892
10000,30,2.50402
10000,30,2.48244
10000,30,2.50299
10000,30,2.47874
10000,30,2.48055
10000,31,2.49416
10000,31,2.44141
10000,31,2.47202
10000,31,2.4429
10000,31,2.52794
10000,32,2.45922
10000,32,2.44569
10000,32,2.44374
10000,32,2.47487
10000,32,2.43556
10000,33,2.44717
10000,33,2.43935
10000,33,2.43835
10000,33,2.44148
10000,33,2.4558
10000,34,2.4202
10000,34,2.42539
10000,34,2.42607
10000,34,2.45305
10000,34,2.38677
10000,35,2.45003
10000,35,2.30335
10000,35,2.2902
10000,35,2.322
10000,35,2.30402
10000,36,2.27637
10000,36,2.30262
10000,36,2.30305
10000,36,2.21575
10000,36,2.30793
10000,37,2.29227
10000,37,2.25559
10000,37,2.29394
10000,37,2.25839
10000,37,2.26432
10000,38,2.34649
10000,38,2.37342
10000,38,2.27711
10000,38,2.43586
10000,38,2.4086
10000,39,2.40341
10000,39,2.44144
10000,39,2.37005
10000,39,2.38514
10000,39,2.37612
10000,40,2.35094
10000,40,2.36798
10000,40,2.33403
10000,40,2.28659
10000,40,2.33892
10000,41,2.37439
10000,41,2.307
10000,41,2.31896
10000,41,2.44077
10000,41,2.34582
10000,42,2.29119
10000,42,2.34498
10000,42,2.36314
10000,42,2.34046
10000,42,2.327
10000,43,2.35696
10000,43,2.33877
10000,43,2.32239
10000,43,2.3513
10000,43,2.34146
10000,44,2.38785
10000,44,2.42201
10000,44,2.32006
10000,44,2.35572
10000,44,2.37063
10000,45,2.33509
10000,45,2.36938
10000,45,2.35894
10000,45,2.32683
10000,45,2.36178
10000,46,2.32394
10000,46,2.32023
10000,46,2.30655
10000,46,2.31969
10000,46,2.28529
10000,47,2.22185
10000,47,2.23385
10000,47,2.21638
10000,47,2.23963
10000,47,2.21753
10000,48,2.22892
10000,48,2.22426
10000,48,2.21149
10000,48,2.18083
10000,48,2.2263
