m,n,k,elapsed,gflops
2000,2000,2000,0.029195,548.034242
2000,2000,2000,0.028574,559.944020
2000,2000,2000,0.028919,553.269745
2000,2000,2000,0.029051,550.757084
2000,2000,2000,0.028864,554.322573
4000,4000,4000,0.166651,768.069987
4000,4000,4000,0.166710,767.801754
4000,4000,4000,0.166209,770.113730
4000,4000,4000,0.166007,771.050156
4000,4000,4000,0.166398,769.239238
6000,6000,6000,0.536640,805.008343
6000,6000,6000,0.536830,804.723991
6000,6000,6000,0.536882,804.646344
6000,6000,6000,0.536326,805.480791
6000,6000,6000,0.536690,804.934346
8000,8000,8000,1.270305,806.105346
8000,8000,8000,1.270757,805.818832
8000,8000,8000,1.268798,807.062826
8000,8000,8000,1.278922,800.674551
8000,8000,8000,1.270912,805.720811
10000,10000,10000,2.493509,802.082575
10000,10000,10000,2.491925,802.592237
10000,10000,10000,2.493148,802.198597
10000,10000,10000,2.491089,802.861758
10000,10000,10000,2.492434,802.428504
12000,12000,12000,4.319850,800.027817
12000,12000,12000,4.323941,799.270822
12000,12000,12000,4.328942,798.347536
12000,12000,12000,4.330705,798.022472
12000,12000,12000,4.327004,798.704998
14000,14000,14000,6.840613,802.267300
14000,14000,14000,6.836925,802.700019
14000,14000,14000,6.828378,803.704821
14000,14000,14000,6.838408,802.525932
14000,14000,14000,6.828848,803.649402
16000,16000,16000,10.127198,808.910814
16000,16000,16000,10.200675,803.084081
16000,16000,16000,10.123238,809.227264
16000,16000,16000,10.186527,804.199520
16000,16000,16000,10.119167,809.552803
18000,18000,18000,14.446114,807.414378
18000,18000,18000,14.474076,805.854530
18000,18000,18000,14.451871,807.092710
18000,18000,18000,14.466264,806.289725
18000,18000,18000,14.381768,811.026826
20000,20000,20000,19.959966,801.604555
20000,20000,20000,19.884205,804.658779
20000,20000,20000,20.062524,797.506835
20000,20000,20000,19.876421,804.973883
20000,20000,20000,19.886914,804.549174
