cores,m,n,k,elapsed,gflops
1,10000,10000,10000,29.522611,67.744686
1,10000,10000,10000,29.521514,67.747202
1,10000,10000,10000,29.529669,67.728494
1,10000,10000,10000,29.538684,67.707822
1,10000,10000,10000,29.522713,67.744451
2,10000,10000,10000,16.185159,123.569996
2,10000,10000,10000,16.199053,123.464007
2,10000,10000,10000,16.157548,123.781159
2,10000,10000,10000,16.184146,123.577731
2,10000,10000,10000,16.178660,123.619633
3,10000,10000,10000,10.265359,194.830014
3,10000,10000,10000,10.272319,194.698004
3,10000,10000,10000,10.034131,199.319704
3,10000,10000,10000,10.273104,194.683123
3,10000,10000,10000,10.308443,194.015717
4,10000,10000,10000,7.769243,257.425336
4,10000,10000,10000,7.769335,257.422287
4,10000,10000,10000,7.775984,257.202179
4,10000,10000,10000,7.796402,256.528586
4,10000,10000,10000,7.796448,256.527075
5,10000,10000,10000,5.970056,335.005206
5,10000,10000,10000,5.968236,335.107368
5,10000,10000,10000,5.971936,334.899763
5,10000,10000,10000,5.966320,335.215024
5,10000,10000,10000,6.099144,327.914862
6,10000,10000,10000,4.967156,402.644924
6,10000,10000,10000,4.971005,402.333151
6,10000,10000,10000,4.978503,401.727167
6,10000,10000,10000,4.968711,402.518890
6,10000,10000,10000,5.120106,390.616916
7,10000,10000,10000,4.240328,471.661584
7,10000,10000,10000,4.242707,471.397157
7,10000,10000,10000,4.238540,471.860578
7,10000,10000,10000,4.241908,471.485988
7,10000,10000,10000,4.241926,471.483976
8,10000,10000,10000,3.705547,539.731394
8,10000,10000,10000,3.809413,525.015217
8,10000,10000,10000,3.708426,539.312313
8,10000,10000,10000,3.706349,539.614620
8,10000,10000,10000,3.709257,539.191473
9,10000,10000,10000,3.294751,607.026171
9,10000,10000,10000,3.297217,606.572130
9,10000,10000,10000,3.294787,607.019487
9,10000,10000,10000,3.296503,606.703498
9,10000,10000,10000,3.297208,606.573739
10,10000,10000,10000,2.986660,669.644277
10,10000,10000,10000,2.985586,669.885169
10,10000,10000,10000,2.979791,671.188048
10,10000,10000,10000,2.986495,669.681271
10,10000,10000,10000,2.986324,669.719723
11,10000,10000,10000,2.708311,738.467564
11,10000,10000,10000,2.705344,739.277546
11,10000,10000,10000,2.710164,737.962691
11,10000,10000,10000,2.709377,738.177016
11,10000,10000,10000,2.706956,738.837221
12,10000,10000,10000,2.488527,803.688177
12,10000,10000,10000,2.487493,804.022316
12,10000,10000,10000,2.485162,804.776568
12,10000,10000,10000,2.486162,804.452866
12,10000,10000,10000,2.491801,802.632398
