cores,m,n,k,elapsed,gflops
1,10000,10000,10000,29.472961,67.858807
1,10000,10000,10000,29.495683,67.806532
1,10000,10000,10000,29.464169,67.879056
1,10000,10000,10000,29.529963,67.727820
1,10000,10000,10000,29.555336,67.669676
2,10000,10000,10000,15.291071,130.795284
2,10000,10000,10000,15.359294,130.214316
2,10000,10000,10000,15.265692,131.012733
2,10000,10000,10000,15.283745,130.857983
2,10000,10000,10000,15.287492,130.825910
3,10000,10000,10000,9.925439,201.502418
3,10000,10000,10000,9.944467,201.116858
3,10000,10000,10000,9.909696,201.822536
3,10000,10000,10000,9.946462,201.076530
3,10000,10000,10000,9.947571,201.054097
4,10000,10000,10000,7.378851,271.044913
4,10000,10000,10000,7.379700,271.013735
4,10000,10000,10000,7.440732,268.790751
4,10000,10000,10000,7.440991,268.781400
4,10000,10000,10000,7.441507,268.762759
5,10000,10000,10000,6.089429,328.438027
5,10000,10000,10000,5.971472,334.925784
5,10000,10000,10000,6.091657,328.317915
5,10000,10000,10000,5.973800,334.795268
5,10000,10000,10000,5.970565,334.976670
6,10000,10000,10000,4.967664,402.603740
6,10000,10000,10000,4.862319,411.326323
6,10000,10000,10000,4.863844,411.197407
6,10000,10000,10000,4.861977,411.355269
6,10000,10000,10000,4.860302,411.497099
7,10000,10000,10000,4.217679,474.194445
7,10000,10000,10000,4.246875,470.934466
7,10000,10000,10000,4.218891,474.058280
7,10000,10000,10000,4.221529,473.761999
7,10000,10000,10000,4.220994,473.822059
8,10000,10000,10000,3.758793,532.085658
8,10000,10000,10000,3.740034,534.754516
8,10000,10000,10000,3.752954,532.913550
8,10000,10000,10000,3.733209,535.732106
8,10000,10000,10000,3.732573,535.823444
9,10000,10000,10000,3.287110,608.437120
9,10000,10000,10000,3.287763,608.316273
9,10000,10000,10000,3.285511,608.733393
9,10000,10000,10000,3.306577,604.855159
9,10000,10000,10000,3.287532,608.359028
10,10000,10000,10000,2.952552,677.380112
10,10000,10000,10000,2.950019,677.961665
10,10000,10000,10000,2.948171,678.386691
10,10000,10000,10000,2.948986,678.199154
10,10000,10000,10000,2.947095,678.634361
11,10000,10000,10000,2.677564,746.947601
11,10000,10000,10000,2.676969,747.113682
11,10000,10000,10000,2.678204,746.769036
11,10000,10000,10000,2.679332,746.454676
11,10000,10000,10000,2.674752,747.732974
12,10000,10000,10000,2.439276,819.915351
12,10000,10000,10000,2.447160,817.273972
12,10000,10000,10000,2.438799,820.075685
12,10000,10000,10000,2.438629,820.133058
12,10000,10000,10000,2.437931,820.367777
