m,n,k,elapsed,gflops
2000,2000,2000,0.030595,522.968362
2000,2000,2000,0.028445,562.489311
2000,2000,2000,0.028328,564.817304
2000,2000,2000,0.028706,557.377716
2000,2000,2000,0.028969,552.316335
4000,4000,4000,0.166640,768.123651
4000,4000,4000,0.166946,766.715647
4000,4000,4000,0.166734,767.689692
4000,4000,4000,0.166750,767.617697
4000,4000,4000,0.166209,770.113058
6000,6000,6000,0.537563,803.627188
6000,6000,6000,0.538100,802.825263
6000,6000,6000,0.538054,802.892988
6000,6000,6000,0.538816,801.758226
6000,6000,6000,0.537761,803.330255
8000,8000,8000,1.279945,800.034300
8000,8000,8000,1.281499,799.064458
8000,8000,8000,1.279986,800.008849
8000,8000,8000,1.277466,801.586639
8000,8000,8000,1.299500,787.995290
10000,10000,10000,2.525998,791.766421
10000,10000,10000,2.536100,788.612402
10000,10000,10000,2.537321,788.232919
10000,10000,10000,2.538161,787.972062
10000,10000,10000,2.536096,788.613591
12000,12000,12000,4.387148,787.755533
12000,12000,12000,4.417701,782.307294
12000,12000,12000,4.409024,783.847009
12000,12000,12000,4.416202,782.572861
12000,12000,12000,4.414669,782.844707
14000,14000,14000,6.952960,789.304093
14000,14000,14000,6.936650,791.160002
14000,14000,14000,6.936381,791.190728
14000,14000,14000,6.935216,791.323560
14000,14000,14000,6.955764,788.985920
16000,16000,16000,10.389210,788.510405
16000,16000,16000,10.366741,790.219415
16000,16000,16000,10.386960,788.681192
16000,16000,16000,10.406802,787.177469
16000,16000,16000,10.440884,784.607877
18000,18000,18000,14.716230,792.594310
18000,18000,18000,15.323035,761.206918
18000,18000,18000,14.974720,778.912714
18000,18000,18000,15.005210,777.330017
18000,18000,18000,15.203750,767.179125
20000,20000,20000,20.802689,769.131335
20000,20000,20000,20.796608,769.356221
20000,20000,20000,20.726305,771.965884
20000,20000,20000,20.760006,770.712693
20000,20000,20000,20.730758,771.800032
