m,n,k,elapsed,gflops
2000,2000,2000,0.027732,576.944865
2000,2000,2000,0.026431,605.353626
2000,2000,2000,0.026931,594.100133
2000,2000,2000,0.038692,413.524922
2000,2000,2000,0.026501,603.748683
4000,4000,4000,0.163522,782.767860
4000,4000,4000,0.163516,782.797985
4000,4000,4000,0.163533,782.714757
4000,4000,4000,0.163432,783.199217
4000,4000,4000,0.163582,782.483940
6000,6000,6000,0.529826,815.361997
6000,6000,6000,0.529497,815.868765
6000,6000,6000,0.528955,816.705039
6000,6000,6000,0.528501,817.406698
6000,6000,6000,0.528931,816.741271
8000,8000,8000,1.246907,821.232280
8000,8000,8000,1.245948,821.864394
8000,8000,8000,1.245847,821.930725
8000,8000,8000,1.246465,821.522973
8000,8000,8000,1.246463,821.524873
10000,10000,10000,2.437327,820.571049
10000,10000,10000,2.437937,820.365795
10000,10000,10000,2.437578,820.486568
10000,10000,10000,2.437897,820.379149
10000,10000,10000,2.438127,820.301753
12000,12000,12000,4.184284,825.947765
12000,12000,12000,4.185580,825.692041
12000,12000,12000,4.185692,825.669980
12000,12000,12000,4.187166,825.379186
12000,12000,12000,4.186877,825.436274
14000,14000,14000,6.650719,825.173942
14000,14000,14000,6.649006,825.386511
14000,14000,14000,6.660512,823.960655
14000,14000,14000,6.656989,824.396678
14000,14000,14000,6.651285,825.103680
16000,16000,16000,9.940274,824.122157
16000,16000,16000,9.935740,824.498229
16000,16000,16000,9.934129,824.631964
16000,16000,16000,9.936028,824.474339
16000,16000,16000,9.932536,824.764183
18000,18000,18000,14.061633,829.491122
18000,18000,18000,14.033287,831.166644
18000,18000,18000,14.044132,830.524797
18000,18000,18000,14.050488,830.149100
18000,18000,18000,14.054488,829.912839
20000,20000,20000,19.435063,823.254356
20000,20000,20000,19.432686,823.355056
20000,20000,20000,19.434950,823.259149
20000,20000,20000,19.448585,822.681948
20000,20000,20000,19.436212,823.205674
