m,n,k,elapsed,gflops
2000,2000,2000,0.026261,609.264066
2000,2000,2000,0.026526,603.173530
2000,2000,2000,0.026176,611.235408
2000,2000,2000,0.027527,581.236945
2000,2000,2000,0.027049,591.524934
4000,4000,4000,0.162939,785.571506
4000,4000,4000,0.162791,786.283505
4000,4000,4000,0.162948,785.525943
4000,4000,4000,0.163140,784.601841
4000,4000,4000,0.163010,785.228233
6000,6000,6000,0.530880,813.742647
6000,6000,6000,0.530648,814.098734
6000,6000,6000,0.530788,813.884704
6000,6000,6000,0.530729,813.974023
6000,6000,6000,0.529784,815.426150
8000,8000,8000,1.262364,811.176607
8000,8000,8000,1.249255,819.688236
8000,8000,8000,1.249406,819.589793
8000,8000,8000,1.249777,819.346085
8000,8000,8000,1.249875,819.281709
10000,10000,10000,2.439741,819.759121
10000,10000,10000,2.440396,819.539150
10000,10000,10000,2.443451,818.514459
10000,10000,10000,2.441593,819.137433
10000,10000,10000,2.441963,819.013244
12000,12000,12000,4.263784,810.547715
12000,12000,12000,4.205451,821.790520
12000,12000,12000,4.206743,821.538243
12000,12000,12000,4.264650,810.383010
12000,12000,12000,4.208922,821.112876
14000,14000,14000,6.666717,823.193788
14000,14000,14000,6.659137,824.130757
14000,14000,14000,6.659841,824.043681
14000,14000,14000,6.652760,824.920782
14000,14000,14000,6.656897,824.408168
16000,16000,16000,9.938865,824.239016
16000,16000,16000,9.947655,823.510705
16000,16000,16000,9.945355,823.701089
16000,16000,16000,9.946109,823.638684
16000,16000,16000,9.949283,823.375919
18000,18000,18000,14.097412,827.385930
18000,18000,18000,14.104367,826.977903
18000,18000,18000,14.087229,827.983972
18000,18000,18000,14.090160,827.811778
18000,18000,18000,14.094967,827.529447
20000,20000,20000,19.406874,824.450128
20000,20000,20000,19.401273,824.688136
20000,20000,20000,19.426391,823.621842
20000,20000,20000,19.402473,824.637168
20000,20000,20000,19.417484,823.999655
