m,n,k,elapsed,gflops
2000,2000,2000,0.026926,594.229475
2000,2000,2000,0.026649,600.403531
2000,2000,2000,0.027451,582.862948
2000,2000,2000,0.027237,587.426740
2000,2000,2000,0.027117,590.032072
4000,4000,4000,0.168323,760.443145
4000,4000,4000,0.168551,759.416223
4000,4000,4000,0.169878,753.480034
4000,4000,4000,0.169079,757.042638
4000,4000,4000,0.168189,761.050474
6000,6000,6000,0.554072,779.681452
6000,6000,6000,0.554236,779.450741
6000,6000,6000,0.555151,778.166842
6000,6000,6000,0.558793,773.095469
6000,6000,6000,0.554294,779.369250
8000,8000,8000,1.345983,760.782219
8000,8000,8000,1.390798,736.268104
8000,8000,8000,1.341320,763.427002
8000,8000,8000,1.347064,760.171807
8000,8000,8000,1.344152,761.818642
10000,10000,10000,2.553413,783.265280
10000,10000,10000,2.566180,779.368605
10000,10000,10000,2.549779,784.381681
10000,10000,10000,2.567891,778.849384
10000,10000,10000,2.570458,778.071372
12000,12000,12000,4.576033,755.239228
12000,12000,12000,4.575127,755.388851
12000,12000,12000,4.599319,751.415564
12000,12000,12000,4.587289,753.386162
12000,12000,12000,4.577519,754.994116
14000,14000,14000,7.246312,757.350732
14000,14000,14000,7.305701,751.194214
14000,14000,14000,7.264173,755.488621
14000,14000,14000,7.306687,751.092802
14000,14000,14000,7.242383,757.761621
16000,16000,16000,10.626174,770.926614
16000,16000,16000,10.611639,771.982552
16000,16000,16000,10.659315,768.529713
16000,16000,16000,10.640369,769.898110
16000,16000,16000,10.617804,771.534310
18000,18000,18000,16.261066,717.296145
18000,18000,18000,16.158931,721.829916
18000,18000,18000,15.979979,729.913348
18000,18000,18000,15.094241,772.745048
18000,18000,18000,16.047134,726.858760
20000,20000,20000,20.906054,765.328533
20000,20000,20000,20.842087,767.677430
20000,20000,20000,20.797935,769.307157
20000,20000,20000,20.749484,771.103525
20000,20000,20000,20.838710,767.801857
