cores,m,n,k,elapsed,gflops
1,10000,10000,10000,28.684751,69.723456
1,10000,10000,10000,28.679121,69.737145
1,10000,10000,10000,28.691450,69.707178
1,10000,10000,10000,28.688136,69.715231
1,10000,10000,10000,28.690643,69.709139
2,10000,10000,10000,15.691239,127.459659
2,10000,10000,10000,14.923026,134.021080
2,10000,10000,10000,15.956477,125.340954
2,10000,10000,10000,15.949989,125.391935
2,10000,10000,10000,15.822329,126.403640
3,10000,10000,10000,10.348095,193.272293
3,10000,10000,10000,10.672186,187.403026
3,10000,10000,10000,10.576761,189.093811
3,10000,10000,10000,10.436114,191.642214
3,10000,10000,10000,10.353308,193.174971
4,10000,10000,10000,8.848669,226.022704
4,10000,10000,10000,8.989582,222.479744
4,10000,10000,10000,8.395488,238.223199
4,10000,10000,10000,8.714980,229.489901
4,10000,10000,10000,8.522922,234.661311
5,10000,10000,10000,6.198923,322.636713
5,10000,10000,10000,6.196828,322.745784
5,10000,10000,10000,6.268531,319.054024
5,10000,10000,10000,6.210431,322.038856
5,10000,10000,10000,6.318343,316.538708
6,10000,10000,10000,5.616271,356.108202
6,10000,10000,10000,5.638234,354.721010
6,10000,10000,10000,5.112406,391.205271
6,10000,10000,10000,5.439197,367.701309
6,10000,10000,10000,5.376842,371.965563
7,10000,10000,10000,4.274883,467.849032
7,10000,10000,10000,4.297088,465.431469
7,10000,10000,10000,4.278318,467.473436
7,10000,10000,10000,4.271414,468.228996
7,10000,10000,10000,4.400325,454.511850
8,10000,10000,10000,3.768007,530.784569
8,10000,10000,10000,3.776806,529.547976
8,10000,10000,10000,3.821864,523.304900
8,10000,10000,10000,3.788800,527.871567
8,10000,10000,10000,3.788801,527.871441
9,10000,10000,10000,3.360897,595.079287
9,10000,10000,10000,3.370417,593.398342
9,10000,10000,10000,3.346378,597.661145
9,10000,10000,10000,3.355480,596.039873
9,10000,10000,10000,3.437620,581.797917
10,10000,10000,10000,3.052379,655.226683
10,10000,10000,10000,3.049182,655.913648
10,10000,10000,10000,3.078799,649.603856
10,10000,10000,10000,3.034169,659.159083
10,10000,10000,10000,3.075443,650.312765
11,10000,10000,10000,2.758393,725.059880
11,10000,10000,10000,2.763832,723.632970
11,10000,10000,10000,2.744820,728.645339
11,10000,10000,10000,2.745765,728.394537
11,10000,10000,10000,2.747340,727.976977
12,10000,10000,10000,2.542514,786.623119
12,10000,10000,10000,2.566257,779.345142
12,10000,10000,10000,2.604074,768.027468
12,10000,10000,10000,2.545037,785.843309
12,10000,10000,10000,2.576515,776.242440
