cores,m,n,k,elapsed,gflops
1,10000,10000,10000,28.707458,69.668307
1,10000,10000,10000,28.646298,69.817049
1,10000,10000,10000,28.643966,69.822734
1,10000,10000,10000,28.641181,69.829524
1,10000,10000,10000,28.647236,69.814764
2,10000,10000,10000,15.029049,133.075619
2,10000,10000,10000,15.016255,133.188998
2,10000,10000,10000,15.020264,133.153452
2,10000,10000,10000,15.013831,133.210505
2,10000,10000,10000,15.017145,133.181111
3,10000,10000,10000,9.786351,204.366257
3,10000,10000,10000,9.843382,203.182206
3,10000,10000,10000,9.804552,203.986889
3,10000,10000,10000,9.842975,203.190608
3,10000,10000,10000,9.926329,201.484362
4,10000,10000,10000,7.378679,271.051245
4,10000,10000,10000,7.379600,271.017406
4,10000,10000,10000,7.379553,271.019114
4,10000,10000,10000,7.387165,270.739869
4,10000,10000,10000,7.381454,270.949314
5,10000,10000,10000,6.341355,315.390011
5,10000,10000,10000,6.483522,308.474310
5,10000,10000,10000,6.174182,323.929528
5,10000,10000,10000,6.339968,315.458987
5,10000,10000,10000,6.316462,316.632948
6,10000,10000,10000,4.895884,408.506404
6,10000,10000,10000,4.897806,408.346079
6,10000,10000,10000,4.898358,408.300073
6,10000,10000,10000,4.900690,408.105807
6,10000,10000,10000,4.894010,408.662869
7,10000,10000,10000,4.345657,460.229567
7,10000,10000,10000,4.269137,468.478737
7,10000,10000,10000,4.417826,452.711358
7,10000,10000,10000,4.536421,440.876220
7,10000,10000,10000,4.419991,452.489624
8,10000,10000,10000,3.760209,531.885294
8,10000,10000,10000,4.094748,488.430603
8,10000,10000,10000,3.786646,528.171916
8,10000,10000,10000,3.788829,527.867623
8,10000,10000,10000,3.790251,527.669513
9,10000,10000,10000,3.355907,595.964116
9,10000,10000,10000,3.355309,596.070257
9,10000,10000,10000,3.357275,595.721150
9,10000,10000,10000,3.392122,589.601500
9,10000,10000,10000,3.394886,589.121339
10,10000,10000,10000,3.048878,655.978954
10,10000,10000,10000,3.030383,659.982548
10,10000,10000,10000,3.038562,658.206050
10,10000,10000,10000,3.020776,662.081490
10,10000,10000,10000,3.018184,662.650132
11,10000,10000,10000,2.728292,733.059358
11,10000,10000,10000,2.710184,737.957348
11,10000,10000,10000,2.726464,733.550788
11,10000,10000,10000,2.707838,738.596553
11,10000,10000,10000,2.700332,740.649765
12,10000,10000,10000,2.481444,805.982481
12,10000,10000,10000,2.491282,802.799668
12,10000,10000,10000,2.483635,805.271342
12,10000,10000,10000,2.486873,804.222890
12,10000,10000,10000,2.486392,804.378535
