m,n,k,elapsed,gflops
2000,2000,2000,0.027674,578.155639
2000,2000,2000,0.027408,583.777062
2000,2000,2000,0.027208,588.066938
2000,2000,2000,0.026810,596.791418
2000,2000,2000,0.027042,591.671054
4000,4000,4000,0.169119,756.865265
4000,4000,4000,0.172703,741.154745
4000,4000,4000,0.169562,754.886630
4000,4000,4000,0.169383,755.685778
4000,4000,4000,0.170743,749.662980
6000,6000,6000,0.559442,772.198419
6000,6000,6000,0.559123,772.638432
6000,6000,6000,0.558234,773.869513
6000,6000,6000,0.556235,776.650715
6000,6000,6000,0.563169,767.087526
8000,8000,8000,1.399370,731.757986
8000,8000,8000,1.394360,734.386884
8000,8000,8000,1.383375,740.218705
8000,8000,8000,1.395994,733.527595
8000,8000,8000,1.482840,690.566969
10000,10000,10000,2.629312,760.655333
10000,10000,10000,2.628005,761.033576
10000,10000,10000,2.629930,760.476509
10000,10000,10000,2.644771,756.209039
10000,10000,10000,2.635912,758.750570
12000,12000,12000,4.614239,748.985908
12000,12000,12000,4.587931,753.280686
12000,12000,12000,4.606773,750.199805
12000,12000,12000,4.605562,750.396943
12000,12000,12000,4.655580,742.334971
14000,14000,14000,7.416554,739.966290
14000,14000,14000,7.492589,732.457072
14000,14000,14000,7.395052,742.117842
14000,14000,14000,7.434325,738.197524
14000,14000,14000,7.391265,742.498082
16000,16000,16000,11.433722,716.477089
16000,16000,16000,11.282889,726.055203
16000,16000,16000,11.835648,692.146320
16000,16000,16000,11.128281,736.142428
16000,16000,16000,11.069655,740.041136
18000,18000,18000,17.901309,651.572465
18000,18000,18000,16.171134,721.285210
18000,18000,18000,17.063474,683.565393
18000,18000,18000,17.554093,664.460409
18000,18000,18000,18.169081,641.969735
20000,20000,20000,21.617567,740.138797
20000,20000,20000,21.515161,743.661640
20000,20000,20000,21.442209,746.191770
20000,20000,20000,22.457490,712.457165
20000,20000,20000,21.525093,743.318492
