m,n,k,elapsed,gflops
2000,2000,2000,0.023311,686.357020
2000,2000,2000,0.024300,658.449193
2000,2000,2000,0.023184,690.133298
2000,2000,2000,0.024028,665.897306
2000,2000,2000,0.024343,657.265389
4000,4000,4000,0.163520,782.780560
4000,4000,4000,0.163878,781.069907
4000,4000,4000,0.162799,786.247040
4000,4000,4000,0.163346,783.611371
4000,4000,4000,0.163364,783.526133
6000,6000,6000,0.538000,802.974370
6000,6000,6000,0.538413,802.357362
6000,6000,6000,0.537925,803.086116
6000,6000,6000,0.539018,801.456798
6000,6000,6000,0.538500,802.228347
8000,8000,8000,1.279336,800.415407
8000,8000,8000,1.279255,800.465795
8000,8000,8000,1.281249,799.220315
8000,8000,8000,1.280114,799.928578
8000,8000,8000,1.279477,800.327062
10000,10000,10000,2.473799,808.472964
10000,10000,10000,2.476182,807.695208
10000,10000,10000,2.477750,807.183890
10000,10000,10000,2.477094,807.397680
10000,10000,10000,2.477859,807.148566
12000,12000,12000,4.302862,803.186323
12000,12000,12000,4.294922,804.671157
12000,12000,12000,4.285371,806.464562
12000,12000,12000,4.303442,803.078117
12000,12000,12000,4.299876,803.744075
14000,14000,14000,6.844649,801.794230
14000,14000,14000,6.868022,799.065607
14000,14000,14000,6.848048,801.396261
14000,14000,14000,6.861769,799.793807
14000,14000,14000,6.856195,800.443948
16000,16000,16000,10.189686,803.950157
16000,16000,16000,10.182378,804.527190
16000,16000,16000,10.181927,804.562793
16000,16000,16000,10.182502,804.517432
16000,16000,16000,10.189769,803.943657
18000,18000,18000,14.497826,804.534433
18000,18000,18000,14.501961,804.304994
18000,18000,18000,14.503307,804.230365
18000,18000,18000,14.498365,804.504500
18000,18000,18000,14.510979,803.805167
20000,20000,20000,19.982084,800.717268
20000,20000,20000,19.996955,800.121814
20000,20000,20000,19.984073,800.637577
20000,20000,20000,20.008907,799.643894
20000,20000,20000,20.006153,799.753968
