m,n,k,elapsed,gflops
2000,2000,2000,0.024144,662.687230
2000,2000,2000,0.023217,689.147847
2000,2000,2000,0.024908,642.361552
2000,2000,2000,0.023467,681.817911
2000,2000,2000,0.024326,657.740146
4000,4000,4000,0.162846,786.017307
4000,4000,4000,0.163024,785.158632
4000,4000,4000,0.162836,786.065978
4000,4000,4000,0.162864,785.933828
4000,4000,4000,0.162453,787.918292
6000,6000,6000,0.546042,791.147593
6000,6000,6000,0.541849,797.270238
6000,6000,6000,0.542571,796.209714
6000,6000,6000,0.551214,783.725098
6000,6000,6000,0.541197,798.230608
8000,8000,8000,1.282458,798.466462
8000,8000,8000,1.282205,798.624244
8000,8000,8000,1.294707,790.912806
8000,8000,8000,1.281618,798.989832
8000,8000,8000,1.280094,799.941091
10000,10000,10000,2.479130,806.734617
10000,10000,10000,2.478389,806.975853
10000,10000,10000,2.478951,806.793030
10000,10000,10000,2.482821,805.535234
10000,10000,10000,2.488654,803.647209
12000,12000,12000,4.341265,796.081407
12000,12000,12000,4.342980,795.766878
12000,12000,12000,4.349964,794.489416
12000,12000,12000,4.342446,795.864810
12000,12000,12000,4.402579,784.994513
14000,14000,14000,6.950482,789.585562
14000,14000,14000,6.869948,798.841578
14000,14000,14000,6.897195,795.685826
14000,14000,14000,6.899212,795.453167
14000,14000,14000,6.905606,794.716612
16000,16000,16000,10.226794,801.033022
16000,16000,16000,10.227424,800.983693
16000,16000,16000,10.244023,799.685816
16000,16000,16000,10.230671,800.729457
16000,16000,16000,10.227416,800.984342
18000,18000,18000,14.517302,803.455083
18000,18000,18000,14.510501,803.831663
18000,18000,18000,14.520079,803.301395
18000,18000,18000,14.517802,803.427412
18000,18000,18000,14.560372,801.078449
20000,20000,20000,20.010626,799.575179
20000,20000,20000,20.008633,799.654837
20000,20000,20000,20.018642,799.255009
20000,20000,20000,20.006454,799.741933
20000,20000,20000,19.995804,800.167876
