m,n,k,elapsed,gflops
2000,2000,2000,0.017409,919.061842
2000,2000,2000,0.016532,967.832162
2000,2000,2000,0.016528,968.035762
2000,2000,2000,0.016632,961.985750
2000,2000,2000,0.016885,947.602947
4000,4000,4000,0.089532,1429.664244
4000,4000,4000,0.089743,1426.293545
4000,4000,4000,0.089399,1431.780374
4000,4000,4000,0.089223,1434.603070
4000,4000,4000,0.089498,1430.204543
6000,6000,6000,0.285915,1510.938893
6000,6000,6000,0.287431,1502.971699
6000,6000,6000,0.285325,1514.061473
6000,6000,6000,0.286021,1510.379786
6000,6000,6000,0.285020,1515.681547
8000,8000,8000,0.649099,1577.570862
8000,8000,8000,0.646499,1583.916327
8000,8000,8000,0.651093,1572.739104
8000,8000,8000,0.646485,1583.950765
8000,8000,8000,0.649647,1576.241363
10000,10000,10000,1.289481,1551.011151
10000,10000,10000,1.284413,1557.131481
10000,10000,10000,1.283938,1557.707957
10000,10000,10000,1.284630,1556.868839
10000,10000,10000,1.287977,1552.823070
12000,12000,12000,2.235098,1546.240832
12000,12000,12000,2.231450,1548.768868
12000,12000,12000,2.240209,1542.712885
12000,12000,12000,2.231824,1548.508880
12000,12000,12000,2.232049,1548.352769
14000,14000,14000,3.458331,1586.892826
14000,14000,14000,3.450371,1590.553507
14000,14000,14000,3.459289,1586.452999
14000,14000,14000,3.450848,1590.333952
14000,14000,14000,3.456780,1587.604786
16000,16000,16000,5.193069,1577.487287
16000,16000,16000,5.179076,1581.749380
16000,16000,16000,5.187649,1579.135359
16000,16000,16000,5.192791,1577.571676
16000,16000,16000,5.198004,1575.989516
18000,18000,18000,7.415858,1572.845708
18000,18000,18000,7.418823,1572.217025
18000,18000,18000,7.385025,1579.412330
18000,18000,18000,7.391762,1577.972850
18000,18000,18000,7.386559,1579.084384
20000,20000,20000,10.238027,1562.801076
20000,20000,20000,10.137007,1578.375107
20000,20000,20000,10.105891,1583.234951
20000,20000,20000,10.219948,1565.565662
20000,20000,20000,10.202565,1568.233161
