cores,m,n,k,elapsed,gflops
1,10000,10000,10000,14.918369,134.062908
1,10000,10000,10000,14.918782,134.059198
1,10000,10000,10000,14.903597,134.195789
1,10000,10000,10000,14.915833,134.085704
1,10000,10000,10000,14.916178,134.082607
2,10000,10000,10000,8.574358,233.253626
2,10000,10000,10000,8.590579,232.813183
2,10000,10000,10000,8.570236,233.365789
2,10000,10000,10000,8.498612,235.332542
2,10000,10000,10000,8.469679,236.136448
3,10000,10000,10000,5.259002,380.300264
3,10000,10000,10000,5.285064,378.424961
3,10000,10000,10000,5.380444,371.716542
3,10000,10000,10000,5.252854,380.745392
3,10000,10000,10000,5.334585,374.911978
4,10000,10000,10000,3.967442,504.103115
4,10000,10000,10000,3.970423,503.724671
4,10000,10000,10000,3.934993,508.260097
4,10000,10000,10000,3.964494,504.477997
4,10000,10000,10000,3.964817,504.436892
5,10000,10000,10000,3.112814,642.505398
5,10000,10000,10000,3.114345,642.189704
5,10000,10000,10000,3.105052,644.111579
5,10000,10000,10000,3.112773,642.513835
5,10000,10000,10000,3.110400,643.004065
6,10000,10000,10000,2.601624,768.750498
6,10000,10000,10000,2.588815,772.554366
6,10000,10000,10000,2.601638,768.746496
6,10000,10000,10000,2.598787,769.589856
6,10000,10000,10000,2.602339,768.539501
7,10000,10000,10000,2.219903,900.940078
7,10000,10000,10000,2.217264,902.012496
7,10000,10000,10000,2.214936,902.960616
7,10000,10000,10000,2.216425,902.354012
7,10000,10000,10000,2.215657,902.666973
8,10000,10000,10000,1.934079,1034.083690
8,10000,10000,10000,1.937721,1032.140085
8,10000,10000,10000,1.920882,1041.188526
8,10000,10000,10000,1.917266,1043.152023
8,10000,10000,10000,1.930217,1036.152833
9,10000,10000,10000,1.706905,1171.711521
9,10000,10000,10000,1.709359,1170.029326
9,10000,10000,10000,1.710548,1169.215700
9,10000,10000,10000,1.711492,1168.571228
9,10000,10000,10000,1.714040,1166.833765
10,10000,10000,10000,1.542581,1296.528479
10,10000,10000,10000,1.526261,1310.391634
10,10000,10000,10000,1.532507,1305.050920
10,10000,10000,10000,1.532560,1305.006354
10,10000,10000,10000,1.529190,1307.881964
11,10000,10000,10000,1.389972,1438.877758
11,10000,10000,10000,1.394403,1434.306050
11,10000,10000,10000,1.395970,1432.695752
11,10000,10000,10000,1.394567,1434.136669
11,10000,10000,10000,1.391837,1436.949498
12,10000,10000,10000,1.283799,1557.876360
12,10000,10000,10000,1.288452,1552.250254
12,10000,10000,10000,1.284320,1557.244120
12,10000,10000,10000,1.288001,1552.793660
12,10000,10000,10000,1.288726,1551.920273
