cores,m,n,k,elapsed,gflops
1,10000,10000,10000,15.024047,133.119922
1,10000,10000,10000,14.956764,133.718761
1,10000,10000,10000,14.940538,133.863989
1,10000,10000,10000,14.906675,134.168085
1,10000,10000,10000,14.954867,133.735723
2,10000,10000,10000,7.737296,258.488253
2,10000,10000,10000,7.862820,254.361655
2,10000,10000,10000,7.864880,254.295028
2,10000,10000,10000,7.731782,258.672575
2,10000,10000,10000,7.864573,254.304976
3,10000,10000,10000,5.125448,390.209818
3,10000,10000,10000,5.124503,390.281735
3,10000,10000,10000,5.126618,390.120735
3,10000,10000,10000,5.131194,389.772796
3,10000,10000,10000,5.127850,390.027033
4,10000,10000,10000,3.788354,527.933714
4,10000,10000,10000,3.785666,528.308682
4,10000,10000,10000,3.787620,528.036022
4,10000,10000,10000,3.785122,528.384575
4,10000,10000,10000,3.785275,528.363143
5,10000,10000,10000,3.118840,641.263976
5,10000,10000,10000,3.112510,642.568206
5,10000,10000,10000,3.112681,642.532920
5,10000,10000,10000,3.115053,642.043586
5,10000,10000,10000,3.115450,641.961760
6,10000,10000,10000,2.499756,800.078074
6,10000,10000,10000,2.500853,799.727195
6,10000,10000,10000,2.500443,799.858181
6,10000,10000,10000,2.499053,800.303045
6,10000,10000,10000,2.499358,800.205509
7,10000,10000,10000,2.196529,910.527549
7,10000,10000,10000,2.194828,911.233008
7,10000,10000,10000,2.180065,917.403723
7,10000,10000,10000,2.180331,917.291869
7,10000,10000,10000,2.181319,916.876400
8,10000,10000,10000,1.945680,1027.918505
8,10000,10000,10000,1.921495,1040.856039
8,10000,10000,10000,1.922131,1040.511941
8,10000,10000,10000,1.919343,1042.023262
8,10000,10000,10000,1.931719,1035.347233
9,10000,10000,10000,1.697272,1178.361526
9,10000,10000,10000,1.699782,1176.621732
9,10000,10000,10000,1.700556,1176.086186
9,10000,10000,10000,1.700747,1175.953911
9,10000,10000,10000,1.704990,1173.027534
10,10000,10000,10000,1.517061,1318.338262
10,10000,10000,10000,1.515765,1319.465384
10,10000,10000,10000,1.516987,1318.402516
10,10000,10000,10000,1.513493,1321.446250
10,10000,10000,10000,1.515434,1319.754348
11,10000,10000,10000,1.373268,1456.380482
11,10000,10000,10000,1.375758,1453.743980
11,10000,10000,10000,1.371020,1458.767484
11,10000,10000,10000,1.376238,1453.236830
11,10000,10000,10000,1.376054,1453.431737
12,10000,10000,10000,1.247618,1603.054198
12,10000,10000,10000,1.248391,1602.062455
12,10000,10000,10000,1.247396,1603.340486
12,10000,10000,10000,1.247239,1603.541783
12,10000,10000,10000,1.246366,1604.665116
