m,n,k,elapsed,gflops
2000,2000,2000,0.032737,488.742996
2000,2000,2000,0.017018,940.160157
2000,2000,2000,0.016990,941.730374
2000,2000,2000,0.016574,965.346999
2000,2000,2000,0.016559,966.244315
4000,4000,4000,0.089446,1431.026293
4000,4000,4000,0.089516,1429.914255
4000,4000,4000,0.089348,1432.597299
4000,4000,4000,0.089574,1428.981607
4000,4000,4000,0.089123,1436.219796
6000,6000,6000,0.286125,1509.828343
6000,6000,6000,0.285032,1515.621532
6000,6000,6000,0.285355,1513.903532
6000,6000,6000,0.285413,1513.598288
6000,6000,6000,0.285124,1515.130482
8000,8000,8000,0.643683,1590.845099
8000,8000,8000,0.647615,1581.186717
8000,8000,8000,0.648864,1578.143847
8000,8000,8000,0.648178,1579.812256
8000,8000,8000,0.646761,1583.273429
10000,10000,10000,1.307785,1529.303031
10000,10000,10000,1.308416,1528.565772
10000,10000,10000,1.297857,1541.001486
10000,10000,10000,1.305419,1532.074595
10000,10000,10000,1.304235,1533.466029
12000,12000,12000,2.284449,1512.837208
12000,12000,12000,2.285736,1511.985897
12000,12000,12000,2.288397,1510.227738
12000,12000,12000,2.297144,1504.476991
12000,12000,12000,2.282726,1513.979660
14000,14000,14000,3.549267,1546.234907
14000,14000,14000,3.562629,1540.435274
14000,14000,14000,3.518020,1559.968358
14000,14000,14000,3.543645,1548.687951
14000,14000,14000,3.551336,1545.333995
16000,16000,16000,5.296894,1546.566720
16000,16000,16000,5.281119,1551.186392
16000,16000,16000,5.278144,1552.060702
16000,16000,16000,5.289939,1548.600212
16000,16000,16000,5.276613,1552.511034
18000,18000,18000,7.530241,1548.954498
18000,18000,18000,7.587008,1537.365018
18000,18000,18000,7.579452,1538.897485
18000,18000,18000,7.591429,1536.469680
18000,18000,18000,7.605456,1533.635765
20000,20000,20000,10.366930,1543.369171
20000,20000,20000,10.350843,1545.767763
20000,20000,20000,10.301478,1553.175258
20000,20000,20000,10.266490,1558.468420
20000,20000,20000,10.390149,1539.920214
