m,n,k,elapsed,gflops
2000,2000,2000,0.017693,904.312133
2000,2000,2000,0.015227,1050.784825
2000,2000,2000,0.015487,1033.116751
2000,2000,2000,0.015608,1025.133650
2000,2000,2000,0.015612,1024.867710
4000,4000,4000,0.086256,1483.960210
4000,4000,4000,0.087140,1468.905373
4000,4000,4000,0.086790,1474.817644
4000,4000,4000,0.086080,1486.981713
4000,4000,4000,0.086053,1487.459796
6000,6000,6000,0.277171,1558.603154
6000,6000,6000,0.278166,1553.030457
6000,6000,6000,0.277234,1558.250853
6000,6000,6000,0.276900,1560.129104
6000,6000,6000,0.277210,1558.387633
8000,8000,8000,0.633310,1616.902842
8000,8000,8000,0.634927,1612.783857
8000,8000,8000,0.633607,1616.143577
8000,8000,8000,0.633304,1616.917923
8000,8000,8000,0.634331,1614.299836
10000,10000,10000,1.247426,1603.301393
10000,10000,10000,1.247730,1602.910643
10000,10000,10000,1.246859,1604.031111
10000,10000,10000,1.247300,1603.464033
10000,10000,10000,1.248390,1602.063746
12000,12000,12000,2.145689,1610.671614
12000,12000,12000,2.148786,1608.349986
12000,12000,12000,2.146750,1609.875438
12000,12000,12000,2.147516,1609.301281
12000,12000,12000,2.148321,1608.698009
14000,14000,14000,3.365314,1630.754257
14000,14000,14000,3.396494,1615.783795
14000,14000,14000,3.365137,1630.840078
14000,14000,14000,3.355975,1635.292259
14000,14000,14000,3.364497,1631.150124
16000,16000,16000,5.038013,1626.038012
16000,16000,16000,5.036207,1626.621113
16000,16000,16000,5.019567,1632.013362
16000,16000,16000,5.040045,1625.382353
16000,16000,16000,5.023802,1630.637488
18000,18000,18000,7.159081,1629.259430
18000,18000,18000,7.162682,1628.440373
18000,18000,18000,7.162178,1628.554839
18000,18000,18000,7.168589,1627.098409
18000,18000,18000,7.163796,1628.187137
20000,20000,20000,9.896210,1616.780593
20000,20000,20000,9.902822,1615.701059
20000,20000,20000,9.878089,1619.746545
20000,20000,20000,9.903468,1615.595714
20000,20000,20000,9.896843,1616.677171
