m,n,k,elapsed,gflops
2000,2000,2000,0.016113,992.977539
2000,2000,2000,0.015922,1004.908034
2000,2000,2000,0.015552,1028.818227
2000,2000,2000,0.015066,1062.025192
2000,2000,2000,0.016251,984.569398
4000,4000,4000,0.089724,1426.592652
4000,4000,4000,0.087847,1457.083329
4000,4000,4000,0.087896,1456.268601
4000,4000,4000,0.088126,1452.469282
4000,4000,4000,0.088152,1452.035430
6000,6000,6000,0.286323,1508.783999
6000,6000,6000,0.287041,1505.012376
6000,6000,6000,0.287334,1503.475519
6000,6000,6000,0.287003,1505.211140
6000,6000,6000,0.287590,1502.138085
8000,8000,8000,0.650371,1574.485337
8000,8000,8000,0.645679,1585.927488
8000,8000,8000,0.649345,1576.973134
8000,8000,8000,0.646266,1584.485775
8000,8000,8000,0.645346,1586.745186
10000,10000,10000,1.306849,1530.398615
10000,10000,10000,1.290004,1550.382686
10000,10000,10000,1.305406,1532.090267
10000,10000,10000,1.292201,1547.746283
10000,10000,10000,1.294450,1545.057780
12000,12000,12000,2.238684,1543.764252
12000,12000,12000,2.230699,1549.290446
12000,12000,12000,2.228652,1550.713034
12000,12000,12000,2.229043,1550.440978
12000,12000,12000,2.227710,1551.369009
14000,14000,14000,3.537768,1551.260631
14000,14000,14000,3.523612,1557.492753
14000,14000,14000,3.517238,1560.315030
14000,14000,14000,3.543854,1548.596368
14000,14000,14000,3.539312,1550.583691
16000,16000,16000,5.313838,1541.635362
16000,16000,16000,5.316094,1540.981138
16000,16000,16000,5.303279,1544.704624
16000,16000,16000,5.307835,1543.378889
16000,16000,16000,5.304288,1544.410802
18000,18000,18000,7.465887,1562.305913
18000,18000,18000,7.460553,1563.423057
18000,18000,18000,7.467508,1561.966849
18000,18000,18000,7.464779,1562.537865
18000,18000,18000,7.483434,1558.642789
20000,20000,20000,10.241915,1562.207843
20000,20000,20000,10.244805,1561.767208
20000,20000,20000,10.243911,1561.903396
20000,20000,20000,10.238792,1562.684358
20000,20000,20000,10.285379,1555.606200
