cores,m,n,k,elapsed,gflops
1,10000,10000,10000,14.433216,138.569254
1,10000,10000,10000,14.439099,138.512797
1,10000,10000,10000,14.446699,138.439934
1,10000,10000,10000,14.444568,138.460354
1,10000,10000,10000,14.396508,138.922577
2,10000,10000,10000,7.761757,257.673624
2,10000,10000,10000,7.763859,257.603838
2,10000,10000,10000,7.604859,262.989757
2,10000,10000,10000,7.752429,257.983658
2,10000,10000,10000,7.770404,257.386871
3,10000,10000,10000,5.116090,390.923505
3,10000,10000,10000,5.090747,392.869685
3,10000,10000,10000,5.065291,394.844018
3,10000,10000,10000,5.091819,392.786933
3,10000,10000,10000,5.012288,399.019392
4,10000,10000,10000,3.711700,538.836706
4,10000,10000,10000,3.760760,531.807398
4,10000,10000,10000,3.734803,535.503417
4,10000,10000,10000,3.714014,538.500987
4,10000,10000,10000,3.718206,537.893791
5,10000,10000,10000,3.142404,636.455497
5,10000,10000,10000,3.136753,637.602049
5,10000,10000,10000,3.137414,637.467680
5,10000,10000,10000,3.134351,638.090691
5,10000,10000,10000,3.137229,637.505169
6,10000,10000,10000,2.480690,806.227399
6,10000,10000,10000,2.487448,804.036783
6,10000,10000,10000,2.477996,807.103689
6,10000,10000,10000,2.481592,805.934414
6,10000,10000,10000,2.475841,807.806346
7,10000,10000,10000,2.215323,902.802978
7,10000,10000,10000,2.214888,902.980185
7,10000,10000,10000,2.219425,901.134250
7,10000,10000,10000,2.222293,899.971427
7,10000,10000,10000,2.216528,902.312223
8,10000,10000,10000,1.900654,1052.269213
8,10000,10000,10000,1.897055,1054.265737
8,10000,10000,10000,1.903579,1050.652210
8,10000,10000,10000,1.896203,1054.739139
8,10000,10000,10000,1.897282,1054.139397
9,10000,10000,10000,1.711181,1168.783768
9,10000,10000,10000,1.711641,1168.469545
9,10000,10000,10000,1.710649,1169.147137
9,10000,10000,10000,1.714496,1166.523354
9,10000,10000,10000,1.713415,1167.259432
10,10000,10000,10000,1.522333,1313.772716
10,10000,10000,10000,1.527971,1308.925761
10,10000,10000,10000,1.523601,1312.679284
10,10000,10000,10000,1.528203,1308.726960
10,10000,10000,10000,1.524722,1311.714775
11,10000,10000,10000,1.382917,1446.218259
11,10000,10000,10000,1.390408,1438.426632
11,10000,10000,10000,1.381803,1447.383851
11,10000,10000,10000,1.386083,1442.914951
11,10000,10000,10000,1.387514,1441.427354
12,10000,10000,10000,1.274127,1569.701847
12,10000,10000,10000,1.271235,1573.273732
12,10000,10000,10000,1.272446,1571.775516
12,10000,10000,10000,1.274133,1569.694550
12,10000,10000,10000,1.282402,1559.573808
