m,n,k,elapsed,gflops
2000,2000,2000,0.014861,1076.652765
2000,2000,2000,0.014940,1070.919502
2000,2000,2000,0.015178,1054.139345
2000,2000,2000,0.015073,1061.515768
2000,2000,2000,0.015618,1024.447085
4000,4000,4000,0.088456,1447.041917
4000,4000,4000,0.088264,1450.199503
4000,4000,4000,0.088611,1444.508093
4000,4000,4000,0.088251,1450.405601
4000,4000,4000,0.088582,1444.994289
6000,6000,6000,0.287190,1504.232828
6000,6000,6000,0.287889,1500.579849
6000,6000,6000,0.290906,1485.017228
6000,6000,6000,0.287151,1504.436274
6000,6000,6000,0.287142,1504.482501
8000,8000,8000,0.645483,1586.408414
8000,8000,8000,0.646097,1584.900409
8000,8000,8000,0.648672,1578.609104
8000,8000,8000,0.649917,1575.584722
8000,8000,8000,0.646630,1583.594035
10000,10000,10000,1.327248,1506.876837
10000,10000,10000,1.346970,1484.813936
10000,10000,10000,1.340215,1492.297598
10000,10000,10000,1.337895,1494.885804
10000,10000,10000,1.327461,1506.635096
12000,12000,12000,2.309736,1496.274962
12000,12000,12000,2.299379,1503.014744
12000,12000,12000,2.298441,1503.628053
12000,12000,12000,2.298371,1503.673672
12000,12000,12000,2.306743,1498.216245
14000,14000,14000,3.713709,1477.767883
14000,14000,14000,3.714242,1477.555969
14000,14000,14000,3.716856,1476.516561
14000,14000,14000,3.608622,1520.802254
14000,14000,14000,3.716214,1476.771894
16000,16000,16000,5.584849,1466.825789
16000,16000,16000,5.584349,1466.956920
16000,16000,16000,5.588527,1465.860387
16000,16000,16000,5.566146,1471.754381
16000,16000,16000,5.565758,1471.856909
18000,18000,18000,7.556810,1543.508526
18000,18000,18000,7.908055,1474.951852
18000,18000,18000,7.543393,1546.253829
18000,18000,18000,7.549109,1545.082988
18000,18000,18000,7.554838,1543.911292
20000,20000,20000,10.566393,1514.234831
20000,20000,20000,10.559425,1515.234011
20000,20000,20000,10.561076,1514.997089
20000,20000,20000,10.598381,1509.664477
20000,20000,20000,10.481379,1526.516619
