m,n,k,elapsed,gflops
2000,2000,2000,0.014199,1126.875155
2000,2000,2000,0.014081,1136.317070
2000,2000,2000,0.014504,1103.165181
2000,2000,2000,0.014185,1127.958582
2000,2000,2000,0.014412,1110.196818
4000,4000,4000,0.083392,1534.913103
4000,4000,4000,0.083785,1527.723679
4000,4000,4000,0.083843,1526.661018
4000,4000,4000,0.082445,1552.555571
4000,4000,4000,0.083729,1528.745570
6000,6000,6000,0.277606,1556.162404
6000,6000,6000,0.276612,1561.753902
6000,6000,6000,0.279072,1547.988759
6000,6000,6000,0.279897,1543.423657
6000,6000,6000,0.276737,1561.046467
8000,8000,8000,0.627910,1630.807251
8000,8000,8000,0.634515,1613.830136
8000,8000,8000,0.633813,1615.617653
8000,8000,8000,0.627520,1631.821439
8000,8000,8000,0.627700,1631.353729
10000,10000,10000,1.261405,1585.533815
10000,10000,10000,1.268468,1576.705248
10000,10000,10000,1.266216,1579.509218
10000,10000,10000,1.261187,1585.807076
10000,10000,10000,1.276837,1566.370905
12000,12000,12000,2.134352,1619.226554
12000,12000,12000,2.131176,1621.639845
12000,12000,12000,2.132620,1620.541981
12000,12000,12000,2.134454,1619.149425
12000,12000,12000,2.134250,1619.304307
14000,14000,14000,3.355699,1635.426812
14000,14000,14000,3.350420,1638.003712
14000,14000,14000,3.344348,1640.977550
14000,14000,14000,3.353873,1636.317039
14000,14000,14000,3.347132,1639.612750
16000,16000,16000,5.025913,1629.952657
16000,16000,16000,5.024740,1630.333190
16000,16000,16000,5.032484,1627.824360
16000,16000,16000,5.031227,1628.231022
16000,16000,16000,5.032371,1627.860873
18000,18000,18000,7.151354,1631.019742
18000,18000,18000,7.174099,1625.848825
18000,18000,18000,7.147300,1631.944833
18000,18000,18000,7.150215,1631.279541
18000,18000,18000,7.172711,1626.163302
20000,20000,20000,9.787931,1634.666247
20000,20000,20000,9.827795,1628.035640
20000,20000,20000,9.783648,1635.381896
20000,20000,20000,9.789668,1634.376206
20000,20000,20000,9.834038,1627.002075
